date,miles
2022-01-01,5.002409372600001
2022-01-02,15.014125335900001
2022-01-03,0.0
2022-01-04,6.6876917987999995
2022-01-05,0.0
2022-01-06,0.0
2022-01-07,0.0
2022-01-08,4.784929522600001
2022-01-09,6.016611118799999
2022-01-10,0.0
2022-01-11,7.049267583700001
2022-01-12,6.0066691828
2022-01-13,5.1943508745
2022-01-14,0.0
2022-01-15,0.0
2022-01-16,5.028817640100001
2022-01-17,0.0
2022-01-18,8.3503563206
2022-01-19,5.019434938
2022-01-20,6.324314038
2022-01-21,5.4174230635
2022-01-22,4.0057924257
2022-01-23,12.2156567632
2022-01-24,0.0
2022-01-25,7.0167698804
2022-01-26,5.0167630427
2022-01-27,8.0723549352
2022-01-28,0.0
2022-01-29,0.0
2022-01-30,14.190063115700001
2022-01-31,4.120124689700001
2022-02-01,0.0
2022-02-02,5.0126619941
2022-02-03,9.0131106292
2022-02-04,5.0103629214
2022-02-05,16.5372920682
2022-02-06,10.1958903277
2022-02-07,0.0
2022-02-08,3.8768579432
2022-02-09,6.5299257019
2022-02-10,9.350763630600001
2022-02-11,1.2492663954999998
2022-02-12,19.379380885099998
2022-02-13,7.4849729288999995
2022-02-14,0.0
2022-02-15,7.004715283
2022-02-16,4.1462222717
2022-02-17,10.3184246889
2022-02-18,4.9226874733
2022-02-19,4.6258585466
2022-02-20,20.2201579852
2022-02-21,8.011336303
2022-02-22,0.0
2022-02-23,5.1843468014
2022-02-24,8.6158681489
2022-02-25,6.695583210500001
2022-02-26,15.1873014336
2022-02-27,12.0066275588
2022-02-28,0.0
2022-03-01,5.244122691599999
2022-03-02,4.017163515
2022-03-03,8.0425291272
2022-03-04,0.0
2022-03-05,22.0092715055
2022-03-06,6.151945722600001
2022-03-07,0.0
2022-03-08,7.9229773468
2022-03-09,10.6253819629
2022-03-10,14.0339747205
2022-03-11,0.0
2022-03-12,0.0
2022-03-13,8.0101556981
2022-03-14,5.506714076200001
2022-03-15,7.0296322601000005
2022-03-16,2.1433571274000003
2022-03-17,5.497269237
2022-03-18,7.1491219034
2022-03-19,0.0
2022-03-20,24.0081598754
2022-03-21,0.0
2022-03-22,8.634198593399999
2022-03-23,4.6342470551
2022-03-24,8.998694822000001
2022-03-25,4.0077808129
2022-03-26,14.005143106099998
2022-03-27,0.0
2022-03-28,10.3784491275
2022-03-29,5.0561579641000005
2022-03-30,7.0936956102
2022-03-31,7.880661981699999
2022-04-01,0.0
2022-04-02,26.4804708102
2022-04-03,4.0118818615
2022-04-04,0.0
2022-04-05,0.0
2022-04-06,5.931607566
2022-04-07,9.7668336522
2022-04-08,5.4758319375
2022-04-09,16.0398845827
2022-04-10,8.0099692868
2022-04-11,0.0
2022-04-12,0.0
2022-04-13,6.0573109193
2022-04-14,7.169378598
2022-04-15,0.0
2022-04-16,12.3586963674
2022-04-17,10.0064964469
2022-04-18,0.0
2022-04-19,7.6485799132
2022-04-20,4.1608866273
2022-04-21,7.0025404845
2022-04-22,0.0
2022-04-23,0.0
2022-04-24,0.0
2022-04-25,0.0
2022-04-26,3.4608500586999997
2022-04-27,6.905917294
2022-04-28,0.6206253548
2022-04-29,3.5820795408
2022-04-30,32.6580791551
2022-05-01,0.0
2022-05-02,0.0
2022-05-03,0.0
2022-05-04,0.0
2022-05-05,0.0
2022-05-06,3.444259453
2022-05-07,7.6500712036000005
2022-05-08,11.431859383799999
2022-05-09,5.0019122758000005
2022-05-10,7.1904430749
2022-05-11,6.5187410239000005
2022-05-12,8.004625496200001
2022-05-13,0.0
2022-05-14,10.0073663663
2022-05-15,6.0511593463999995
2022-05-16,0.0
2022-05-17,0.0
2022-05-18,0.0
2022-05-19,0.0
2022-05-20,3.50453244
2022-05-21,6.1499573354
2022-05-22,0.0
2022-05-23,7.8251735514
2022-05-24,9.303290886200001
2022-05-25,5.4825427443
2022-05-26,8.1246743734
2022-05-27,0.0
2022-05-28,14.832747141
2022-05-29,8.5214197569
2022-05-30,0.0
2022-05-31,8.7419443248
2022-06-01,5.0491364718
2022-06-02,5.0398159068
2022-06-03,6.602874657299999
2022-06-04,17.009968987900002
2022-06-05,9.4085511336
2022-06-06,0.0
2022-06-07,0.0
2022-06-08,6.0038730133
2022-06-09,9.578744650500001
2022-06-10,3.7576168483
2022-06-11,10.0069314066
2022-06-12,17.3723525551
2022-06-13,0.0
2022-06-14,8.597910527
2022-06-15,0.0
2022-06-16,6.7703962789
2022-06-17,0.0
2022-06-18,0.0
2022-06-19,0.0
2022-06-20,6.0807987431
2022-06-21,10.516144941099999
2022-06-22,5.0271399383999995
2022-06-23,8.0040662623
2022-06-24,0.0
2022-06-25,21.1166099269
2022-06-26,12.1541410342
2022-06-27,0.0
2022-06-28,8.3988232586
2022-06-29,4.4321150688
2022-06-30,0.0
2022-07-01,5.2474159578999995
2022-07-02,20.0086432968
2022-07-03,18.8856394885
2022-07-04,0.0
2022-07-05,0.0
2022-07-06,5.6459633173
2022-07-07,5.0021608242
2022-07-08,3.7472399526
2022-07-09,15.3640814831
2022-07-10,0.0
2022-07-11,4.3343734105000005
2022-07-12,4.0051089176
2022-07-13,12.092935990700001
2022-07-14,10.0043837855
2022-07-15,0.0
2022-07-16,24.388811750000002
2022-07-17,9.999847777200001
